,created_at,full_text,user,location,polarity,subjectivity,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
0,2021-02-23 18:30:42,"RT @sindivanzyl: 💓💓💓

Love you lots https://t.co/35OH3tAgPV",828925648987099136,Diepkloof Zone 6 Soweto RSA,0.5,0.6,love lot http tagpv,19,"Sentiment(polarity=0.5, subjectivity=0.6)","{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.6369}",0.6369,Positive
1,2021-02-23 18:30:35,"@sindivanzyl Healing, Light, Blessings and Love To You Doc Speedy Recovery 💜",828925648987099136,Diepkloof Zone 6 Soweto RSA,0.45,0.6499999999999999,heal light bless love speedi recoveri,37,"Sentiment(polarity=0.45, subjectivity=0.6499999999999999)","{'neg': 0.0, 'neu': 0.364, 'pos': 0.636, 'compound': 0.7906}",0.7906,Positive
2,2021-02-23 17:12:38,@julius_thamana @KingMntungwa It still annoys me nangoku!😹😹😹,1186181702814785537,"Durban, South Africa",0.0,0.0,still annoy nangoku,19,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.592, 'neu': 0.408, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative
3,2021-02-23 17:09:02,@julius_thamana Bayanya 😂,943018760717393920,Azania ✊🏽🖤❤️🖤,0.0,0.0,bayanya,7,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
4,2021-02-23 17:05:23,@KingMntungwa This Magriza annoyed a lot of people when this video was tweeted 2 years ago 😂😂,828925648987099136,Diepkloof Zone 6 Soweto RSA,-0.4,0.8,thi magriza annoy peopl when thi video tweet year,49,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative
5,2021-02-23 16:46:00,@julius_thamana Bayawina abasisi ngoku 😂😂,263600436,Saldanha Bay/Cpt./KWT,0.0,0.0,bayawina abasisi ngoku,22,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
6,2021-02-23 16:25:20,@_ShaunKeyz So he's not promoting for steers?👀,828925648987099136,Diepkloof Zone 6 Soweto RSA,0.0,0.0,promot steer,12,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
7,2021-02-23 16:22:25,@Lwadz_G Eish Bulelwa mare 😭😭😭 https://t.co/R6zqpMwhOY,828925648987099136,Diepkloof Zone 6 Soweto RSA,0.0,0.0,eish bulelwa mare http zqpmwhoy,31,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
8,2021-02-23 16:20:31,@julius_thamana 🤣🤣Very well,341972645,securing the bag 💰💰,0.0,0.0,veri well,9,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732,Positive
9,2021-02-23 16:18:51,@she_speakslife But she's conducting well 😂,828925648987099136,Diepkloof Zone 6 Soweto RSA,0.0,0.0,conduct well,12,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732,Positive
10,2021-02-23 16:02:48,@julius_thamana @Michael_Bucwa Did I say anything about the brain 🤔 https://t.co/VxSqPkFrpC,1276478301725392897,"Sandton, South Africa",0.0,0.0,anyth about brain http vxsqpkfrpc,33,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
11,2021-02-23 15:49:47,@julius_thamana I was heart broken when he died,2844462863,"Midrand, South Africa",-0.4,0.4,heart broken when die,21,"Sentiment(polarity=-0.4, subjectivity=0.4)","{'neg': 0.574, 'neu': 0.082, 'pos': 0.344, 'compound': -0.4215}",-0.4215,Negative
12,2021-02-23 15:49:27,@Sanele_MM @MetjahTebogo Bro i like how you reason becaue many people are offering her advices forgetting that it depends on the field of interest.,828925648987099136,Diepkloof Zone 6 Soweto RSA,0.5,0.5,like reason becau mani peopl offer advic forget that depend field interest,74,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.116, 'neu': 0.549, 'pos': 0.335, 'compound': 0.5574}",0.5574,Positive
13,2021-02-23 15:48:35,RT @Sanele_MM: @MetjahTebogo The real question here is what field are you interested in? Then it  an be taken from there? Are there alterna…,828925648987099136,Diepkloof Zone 6 Soweto RSA,0.225,0.4,real question here what field interest then taken from there there alterna,74,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)","{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.4588}",0.4588,Positive
14,2021-02-23 15:47:55,@Addicter999 @todaystwiter Thamana,1341755673026068480,,0.0,0.0,thamana,7,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
